product_basket,family,SF_type,orders_count,ship_to_count,ship_to_total,ship_to_perc,running_perc
PPE,EYE PROTECTION,CORP,1,1269,1879,0.6753592336349122,0.6753592336349122
PPE,EYE PROTECTION,CORP,2,270,1879,0.14369345396487493,0.8190526875997872
PPE,EYE PROTECTION,CORP,3,123,1879,0.06546035125066525,0.8845130388504525
PPE,EYE PROTECTION,CORP,4,51,1879,0.027142096860031932,0.9116551357104844
PPE,EYE PROTECTION,CORP,5,44,1879,0.023416711016498136,0.9350718467269825
PPE,EYE PROTECTION,CORP,6,24,1879,0.012772751463544438,0.9478445981905269
PPE,EYE PROTECTION,CORP,7,15,1879,0.007982969664715274,0.9558275678552421
PPE,EYE PROTECTION,CORP,8,20,1879,0.010643959552953698,0.9664715274081959
PPE,EYE PROTECTION,CORP,9,12,1879,0.006386375731772219,0.9728579031399681
PPE,EYE PROTECTION,CORP,10,10,1879,0.005321979776476849,0.978179882916445
PPE,EYE PROTECTION,CORP,11,5,1879,0.0026609898882384245,0.9808408728046834
PPE,EYE PROTECTION,CORP,12,5,1879,0.0026609898882384245,0.9835018626929217
PPE,EYE PROTECTION,CORP,13,5,1879,0.0026609898882384245,0.9861628525811601
PPE,EYE PROTECTION,CORP,14,3,1879,0.0015965939329430547,0.9877594465141032
PPE,EYE PROTECTION,CORP,15,2,1879,0.0010643959552953698,0.9888238424693986
PPE,EYE PROTECTION,CORP,16,2,1879,0.0010643959552953698,0.989888238424694
PPE,EYE PROTECTION,CORP,17,1,1879,0.0005321979776476849,0.9904204364023417
PPE,EYE PROTECTION,CORP,18,3,1879,0.0015965939329430547,0.9920170303352848
PPE,EYE PROTECTION,CORP,19,2,1879,0.0010643959552953698,0.9930814262905802
PPE,EYE PROTECTION,CORP,20,2,1879,0.0010643959552953698,0.9941458222458756
PPE,EYE PROTECTION,CORP,21,2,1879,0.0010643959552953698,0.995210218201171
PPE,EYE PROTECTION,CORP,22,1,1879,0.0005321979776476849,0.9957424161788186
